# Grid encut vs total energy
# Date: Sat Jan 17 19:23:01 CST 2026
# PWD: /home/mayn/myVASP/Ge_bs/0_conv
#   ENCUT |  Energy (eV)  |   delte E  
     220     -31.07326137               
     250     -35.30621896   -4.23295759
     280     -35.92182137   -0.61560241
     310     -36.06533339   -0.14351202
     340     -36.07983329   -0.01449990
     360     -36.07629738    0.00353591           
     380     -36.07041404    0.00588334
     400     -36.06757771    0.00283633
     420     -36.06483921    0.00273850
     440     -36.06280434    0.00203487
     460     -36.06590844   -0.0031041
     480     -36.06554354    0.00036490
     500     -36.06695935   -0.00141581
  
