# k-point vs total energy
# Date: Sat Jan 17 20:31:54 CST 2026
# PWD: /home/mayn/myVASP/Ge_bs/0_conv
#   k-points |  Energy (Hartree)  |   delte E  
     1 1 1      -24.5829750100               
     2 2 2      -34.9223586800   -10.3393836700
     3 3 3      -35.8575368700    -0.9351781900
     4 4 4      -36.0178434100    -0.1603065400
     5 5 5      -36.0555638300    -0.0377204200
     6 6 6      -36.0667806500    -0.0112168200
     7 7 7      -36.0707563500    -0.0039757000
     8 8 8      -36.0718770300    -0.0011206800
     9 9 9      -36.0727378300    -0.0008608000
     10 10 10      -36.0730962600    -0.0003584300
     11 11 11      -36.0730665900     0.0000296700
     12 12 12      -36.0731344200    -0.0000678300
