     #Energy           s           p           d       tot  
   -27.26518     0.00000     0.00000     0.00000     0.00000
   -27.22618     0.00000     0.00000     0.00000     0.00000
   -27.18718     0.00000     0.00000     0.00000     0.00000
   -27.14918     0.00000     0.00000     0.00000     0.00000
   -27.11018     0.00000     0.00000     0.00000     0.00000
   -27.07118     0.00000     0.00000     0.00000     0.00000
   -27.03318     0.00000     0.00000     0.00000     0.00000
   -26.99418     0.00000     0.00000     0.00000     0.00000
   -26.95518     0.00000     0.00000     0.00000     0.00000
   -26.91718     0.00000     0.00000     0.00000     0.00000
   -26.87818     0.00000     0.00000     0.00000     0.00000
   -26.83918     0.00000     0.00000     0.00000     0.00000
   -26.80118     0.00000     0.00000     0.00000     0.00000
   -26.76218     0.00000     0.00000     0.00000     0.00000
   -26.72318     0.00000     0.00000     0.00000     0.00000
   -26.68518     0.00000     0.00000     0.00000     0.00000
   -26.64618     0.00000     0.00000     0.00000     0.00000
   -26.60718     0.00000     0.00000     0.00000     0.00000
   -26.56918     0.00000     0.00000     0.00000     0.00000
   -26.53018     0.00000     0.00000     0.00000     0.00000
   -26.49118     0.00000     0.00000     0.00000     0.00000
   -26.45318     0.00000     0.00000     0.00000     0.00000
   -26.41418     0.00000     0.00000     0.00000     0.00000
   -26.37518     0.00000     0.00000     0.00000     0.00000
   -26.33718     0.00000     0.00000     0.00000     0.00000
   -26.29818     0.00000     0.00000     0.00000     0.00000
   -26.25918     0.00000     0.00000     0.00000     0.00000
   -26.22118     0.00000     0.00000     0.00000     0.00000
   -26.18218     0.00000     0.00000     0.00000     0.00000
   -26.14318     0.00000     0.00000     0.00000     0.00000
   -26.10518     0.00000     0.00000     0.00000     0.00000
   -26.06618     0.00000     0.00000     0.00000     0.00000
   -26.02718     0.00000     0.00000     0.00000     0.00000
   -25.98918     0.00000     0.00000     0.00000     0.00000
   -25.95018     0.00000     0.00000     0.00000     0.00000
   -25.91118     0.00000     0.00000     0.00000     0.00000
   -25.87318     0.00000     0.00000     0.00000     0.00000
   -25.83418     0.00000     0.00000     0.00000     0.00000
   -25.79518     0.00000     0.00000     0.00000     0.00000
   -25.75718     0.00000     0.00000     0.00000     0.00000
   -25.71818     0.00000     0.00000     0.00000     0.00000
   -25.67918     0.00000     0.00000     0.00000     0.00000
   -25.64118     0.00000     0.00000     0.00000     0.00000
   -25.60218     0.00000     0.00000     0.00000     0.00000
   -25.56318     0.00000     0.00000     0.00000     0.00000
   -25.52518     0.00000     0.00000     0.00000     0.00000
   -25.48618     0.00002     0.00325     3.58374     3.58701
   -25.44718     0.00008     0.00754     8.03287     8.04050
   -25.40918     0.00090     0.00894     9.58577     9.59562
   -25.37018     0.00256     0.00945    11.11238    11.12439
   -25.33118     0.00366     0.00994    13.09759    13.11119
   -25.29318     0.00440     0.01060    15.25062    15.26562
   -25.25418     0.00564     0.01129    17.32786    17.34479
   -25.21518     0.00678     0.01189    19.22104    19.23971
   -25.17718     0.00780     0.01243    21.20238    21.22262
   -25.13818     0.00927     0.01304    23.57968    23.60199
   -25.09918     0.01020     0.01353    25.19562    25.21935
   -25.06118     0.01032     0.01488    27.82929    27.85449
   -25.02218     0.01036     0.01643    31.01746    31.04425
   -24.98318     0.01037     0.01682    31.96907    31.99626
   -24.94518     0.01037     0.01682    31.96907    31.99626
   -24.90618     0.01037     0.01682    31.96907    31.99626
   -24.86718     0.01037     0.01682    31.96907    31.99626
   -24.82818     0.01037     0.01682    31.96907    31.99626
   -24.79018     0.01037     0.01682    31.96907    31.99626
   -24.75118     0.01037     0.01682    31.96907    31.99626
   -24.71218     0.01037     0.01682    31.96907    31.99626
   -24.67418     0.01037     0.01682    31.96907    31.99626
   -24.63518     0.01037     0.01682    31.96907    31.99626
   -24.59618     0.01037     0.01682    31.96907    31.99626
   -24.55818     0.01037     0.01682    31.96907    31.99626
   -24.51918     0.01037     0.01682    31.96907    31.99626
   -24.48018     0.01037     0.01682    31.96907    31.99626
   -24.44218     0.01037     0.01682    31.96907    31.99626
   -24.40318     0.01037     0.01682    31.96907    31.99626
   -24.36418     0.01037     0.01682    31.96907    31.99626
   -24.32618     0.01037     0.01682    31.96907    31.99626
   -24.28718     0.01037     0.01682    31.96907    31.99626
   -24.24818     0.01037     0.01682    31.96907    31.99626
   -24.21018     0.01037     0.01682    31.96907    31.99626
   -24.17118     0.01037     0.01682    31.96907    31.99626
   -24.13218     0.01037     0.01682    31.96907    31.99626
   -24.09418     0.01037     0.01682    31.96907    31.99626
   -24.05518     0.01037     0.01682    31.96907    31.99626
   -24.01618     0.01037     0.01682    31.96907    31.99626
   -23.97818     0.01037     0.01682    31.96907    31.99626
   -23.93918     0.01037     0.01682    31.96907    31.99626
   -23.90018     0.01037     0.01682    31.96907    31.99626
   -23.86218     0.01037     0.01682    31.96907    31.99626
   -23.82318     0.01037     0.01682    31.96907    31.99626
   -23.78418     0.01037     0.01682    31.96907    31.99626
   -23.74618     0.01037     0.01682    31.96907    31.99626
   -23.70718     0.01037     0.01682    31.96907    31.99626
   -23.66818     0.01037     0.01682    31.96907    31.99626
   -23.63018     0.01037     0.01682    31.96907    31.99626
