     #Energy           s           p           d       tot  
   -27.26518     0.00000     0.00000     0.00000     0.00000
   -27.22618     0.00000     0.00000     0.00000     0.00000
   -27.18718     0.00000     0.00000     0.00000     0.00000
   -27.14918     0.00000     0.00000     0.00000     0.00000
   -27.11018     0.00000     0.00000     0.00000     0.00000
   -27.07118     0.00000     0.00000     0.00000     0.00000
   -27.03318     0.00000     0.00000     0.00000     0.00000
   -26.99418     0.00000     0.00000     0.00000     0.00000
   -26.95518     0.00000     0.00000     0.00000     0.00000
   -26.91718     0.00000     0.00000     0.00000     0.00000
   -26.87818     0.00000     0.00000     0.00000     0.00000
   -26.83918     0.00000     0.00000     0.00000     0.00000
   -26.80118     0.00000     0.00000     0.00000     0.00000
   -26.76218     0.00000     0.00000     0.00000     0.00000
   -26.72318     0.00000     0.00000     0.00000     0.00000
   -26.68518     0.00000     0.00000     0.00000     0.00000
   -26.64618     0.00000     0.00000     0.00000     0.00000
   -26.60718     0.00000     0.00000     0.00000     0.00000
   -26.56918     0.00000     0.00000     0.00000     0.00000
   -26.53018     0.00000     0.00000     0.00000     0.00000
   -26.49118     0.00000     0.00000     0.00000     0.00000
   -26.45318     0.00000     0.00000     0.00000     0.00000
   -26.41418     0.00000     0.00000     0.00000     0.00000
   -26.37518     0.00000     0.00000     0.00000     0.00000
   -26.33718     0.00000     0.00000     0.00000     0.00000
   -26.29818     0.00000     0.00000     0.00000     0.00000
   -26.25918     0.00000     0.00000     0.00000     0.00000
   -26.22118     0.00000     0.00000     0.00000     0.00000
   -26.18218     0.00000     0.00000     0.00000     0.00000
   -26.14318     0.00000     0.00000     0.00000     0.00000
   -26.10518     0.00000     0.00000     0.00000     0.00000
   -26.06618     0.00000     0.00000     0.00000     0.00000
   -26.02718     0.00000     0.00000     0.00000     0.00000
   -25.98918     0.00000     0.00000     0.00000     0.00000
   -25.95018     0.00000     0.00000     0.00000     0.00000
   -25.91118     0.00000     0.00000     0.00000     0.00000
   -25.87318     0.00000     0.00000     0.00000     0.00000
   -25.83418     0.00000     0.00000     0.00000     0.00000
   -25.79518     0.00000     0.00000     0.00000     0.00000
   -25.75718     0.00000     0.00000     0.00000     0.00000
   -25.71818     0.00000     0.00000     0.00000     0.00000
   -25.67918     0.00000     0.00000     0.00000     0.00000
   -25.64118     0.00000     0.00000     0.00000     0.00000
   -25.60218     0.00000     0.00000     0.00000     0.00000
   -25.56318     0.00000     0.00000     0.00000     0.00000
   -25.52518     0.00000     0.00000     0.00000     0.00000
   -25.48618     0.00125     0.16788   185.36000   185.52913
   -25.44718     0.00186     0.05446    44.76000    44.81632
   -25.40918     0.04044     0.01797    35.56000    35.61841
   -25.37018     0.04522     0.00838    43.40000    43.45360
   -25.33118     0.01197     0.01666    59.28000    59.30863
   -25.29318     0.02588     0.01773    52.08000    52.12361
   -25.25418     0.03870     0.01775    55.36000    55.41645
   -25.21518     0.02004     0.01325    42.56000    42.59329
   -25.17718     0.03280     0.01496    59.92000    59.96776
   -25.13818     0.04326     0.01622    63.04000    63.09948
   -25.09918     0.00466     0.00933    20.54000    20.55399
   -25.06118     0.00175     0.06022   115.68000   115.74197
   -25.02218     0.00041     0.02012    49.22000    49.24053
   -24.98318     0.00000     0.00000     0.00000     0.00000
   -24.94518     0.00000     0.00000     0.00000     0.00000
   -24.90618     0.00000     0.00000     0.00000     0.00000
   -24.86718     0.00000     0.00000     0.00000     0.00000
   -24.82818     0.00000     0.00000     0.00000     0.00000
   -24.79018     0.00000     0.00000     0.00000     0.00000
   -24.75118     0.00000     0.00000     0.00000     0.00000
   -24.71218     0.00000     0.00000     0.00000     0.00000
   -24.67418     0.00000     0.00000     0.00000     0.00000
   -24.63518     0.00000     0.00000     0.00000     0.00000
   -24.59618     0.00000     0.00000     0.00000     0.00000
   -24.55818     0.00000     0.00000     0.00000     0.00000
   -24.51918     0.00000     0.00000     0.00000     0.00000
   -24.48018     0.00000     0.00000     0.00000     0.00000
   -24.44218     0.00000     0.00000     0.00000     0.00000
   -24.40318     0.00000     0.00000     0.00000     0.00000
   -24.36418     0.00000     0.00000     0.00000     0.00000
   -24.32618     0.00000     0.00000     0.00000     0.00000
   -24.28718     0.00000     0.00000     0.00000     0.00000
   -24.24818     0.00000     0.00000     0.00000     0.00000
   -24.21018     0.00000     0.00000     0.00000     0.00000
   -24.17118     0.00000     0.00000     0.00000     0.00000
   -24.13218     0.00000     0.00000     0.00000     0.00000
   -24.09418     0.00000     0.00000     0.00000     0.00000
   -24.05518     0.00000     0.00000     0.00000     0.00000
   -24.01618     0.00000     0.00000     0.00000     0.00000
   -23.97818     0.00000     0.00000     0.00000     0.00000
   -23.93918     0.00000     0.00000     0.00000     0.00000
   -23.90018     0.00000     0.00000     0.00000     0.00000
   -23.86218     0.00000     0.00000     0.00000     0.00000
   -23.82318     0.00000     0.00000     0.00000     0.00000
   -23.78418     0.00000     0.00000     0.00000     0.00000
   -23.74618     0.00000     0.00000     0.00000     0.00000
   -23.70718     0.00000     0.00000     0.00000     0.00000
   -23.66818     0.00000     0.00000     0.00000     0.00000
   -23.63018     0.00000     0.00000     0.00000     0.00000
