     #Energy        Ge_p
   -27.26518     0.00000
   -27.22618     0.00000
   -27.18718     0.00000
   -27.14918     0.00000
   -27.11018     0.00000
   -27.07118     0.00000
   -27.03318     0.00000
   -26.99418     0.00000
   -26.95518     0.00000
   -26.91718     0.00000
   -26.87818     0.00000
   -26.83918     0.00000
   -26.80118     0.00000
   -26.76218     0.00000
   -26.72318     0.00000
   -26.68518     0.00000
   -26.64618     0.00000
   -26.60718     0.00000
   -26.56918     0.00000
   -26.53018     0.00000
   -26.49118     0.00000
   -26.45318     0.00000
   -26.41418     0.00000
   -26.37518     0.00000
   -26.33718     0.00000
   -26.29818     0.00000
   -26.25918     0.00000
   -26.22118     0.00000
   -26.18218     0.00000
   -26.14318     0.00000
   -26.10518     0.00000
   -26.06618     0.00000
   -26.02718     0.00000
   -25.98918     0.00000
   -25.95018     0.00000
   -25.91118     0.00000
   -25.87318     0.00000
   -25.83418     0.00000
   -25.79518     0.00000
   -25.75718     0.00000
   -25.71818     0.00000
   -25.67918     0.00000
   -25.64118     0.00000
   -25.60218     0.00000
   -25.56318     0.00000
   -25.52518     0.00000
   -25.48618     0.16788
   -25.44718     0.05446
   -25.40918     0.01797
   -25.37018     0.00838
   -25.33118     0.01666
   -25.29318     0.01773
   -25.25418     0.01775
   -25.21518     0.01325
   -25.17718     0.01496
   -25.13818     0.01622
   -25.09918     0.00933
   -25.06118     0.06022
   -25.02218     0.02012
   -24.98318     0.00000
   -24.94518     0.00000
   -24.90618     0.00000
   -24.86718     0.00000
   -24.82818     0.00000
   -24.79018     0.00000
   -24.75118     0.00000
   -24.71218     0.00000
   -24.67418     0.00000
   -24.63518     0.00000
   -24.59618     0.00000
   -24.55818     0.00000
   -24.51918     0.00000
   -24.48018     0.00000
   -24.44218     0.00000
   -24.40318     0.00000
   -24.36418     0.00000
   -24.32618     0.00000
   -24.28718     0.00000
   -24.24818     0.00000
   -24.21018     0.00000
   -24.17118     0.00000
   -24.13218     0.00000
   -24.09418     0.00000
   -24.05518     0.00000
   -24.01618     0.00000
   -23.97818     0.00000
   -23.93918     0.00000
   -23.90018     0.00000
   -23.86218     0.00000
   -23.82318     0.00000
   -23.78418     0.00000
   -23.74618     0.00000
   -23.70718     0.00000
   -23.66818     0.00000
   -23.63018     0.00000
   -23.59118     0.00000
   -23.55218     0.00000
   -23.51418     0.00000
   -23.47518     0.00000
   -23.43618     0.00000
   -23.39818     0.00000
   -23.35918     0.00000
   -23.32018     0.00000
   -23.28218     0.00000
   -23.24318     0.00000
   -23.20418     0.00000
   -23.16618     0.00000
   -23.12718     0.00000
   -23.08818     0.00000
   -23.05018     0.00000
   -23.01118     0.00000
   -22.97218     0.00000
   -22.93418     0.00000
   -22.89518     0.00000
   -22.85618     0.00000
   -22.81818     0.00000
   -22.77918     0.00000
   -22.74018     0.00000
   -22.70218     0.00000
   -22.66318     0.00000
   -22.62418     0.00000
   -22.58618     0.00000
   -22.54718     0.00000
   -22.50818     0.00000
   -22.47018     0.00000
   -22.43118     0.00000
   -22.39218     0.00000
   -22.35418     0.00000
   -22.31518     0.00000
   -22.27618     0.00000
   -22.23818     0.00000
   -22.19918     0.00000
   -22.16018     0.00000
   -22.12218     0.00000
   -22.08318     0.00000
   -22.04418     0.00000
   -22.00618     0.00000
   -21.96718     0.00000
   -21.92818     0.00000
   -21.89018     0.00000
   -21.85118     0.00000
   -21.81218     0.00000
   -21.77418     0.00000
   -21.73518     0.00000
   -21.69618     0.00000
   -21.65818     0.00000
   -21.61918     0.00000
   -21.58018     0.00000
   -21.54218     0.00000
   -21.50318     0.00000
   -21.46418     0.00000
   -21.42618     0.00000
   -21.38718     0.00000
   -21.34818     0.00000
   -21.31018     0.00000
   -21.27118     0.00000
   -21.23218     0.00000
   -21.19418     0.00000
   -21.15518     0.00000
   -21.11618     0.00000
   -21.07818     0.00000
   -21.03918     0.00000
   -21.00018     0.00000
   -20.96218     0.00000
   -20.92318     0.00000
   -20.88418     0.00000
   -20.84618     0.00000
   -20.80718     0.00000
   -20.76818     0.00000
   -20.73018     0.00000
   -20.69118     0.00000
   -20.65218     0.00000
   -20.61418     0.00000
   -20.57518     0.00000
   -20.53618     0.00000
   -20.49818     0.00000
   -20.45918     0.00000
   -20.42018     0.00000
   -20.38218     0.00000
   -20.34318     0.00000
   -20.30418     0.00000
   -20.26618     0.00000
   -20.22718     0.00000
   -20.18818     0.00000
   -20.15018     0.00000
   -20.11118     0.00000
   -20.07218     0.00000
   -20.03418     0.00000
   -19.99518     0.00000
   -19.95618     0.00000
   -19.91818     0.00000
   -19.87918     0.00000
   -19.84018     0.00000
   -19.80218     0.00000
   -19.76318     0.00000
   -19.72418     0.00000
   -19.68618     0.00000
   -19.64718     0.00000
   -19.60818     0.00000
   -19.57018     0.00000
   -19.53118     0.00000
   -19.49218     0.00000
   -19.45418     0.00000
   -19.41518     0.00000
   -19.37618     0.00000
   -19.33818     0.00000
   -19.29918     0.00000
   -19.26018     0.00000
   -19.22218     0.00000
   -19.18318     0.00000
   -19.14418     0.00000
   -19.10618     0.00000
   -19.06718     0.00000
   -19.02818     0.00000
   -18.99018     0.00000
   -18.95118     0.00000
   -18.91218     0.00000
   -18.87418     0.00000
   -18.83518     0.00000
   -18.79618     0.00000
   -18.75818     0.00000
   -18.71918     0.00000
   -18.68018     0.00000
   -18.64218     0.00000
   -18.60318     0.00000
   -18.56418     0.00000
   -18.52618     0.00000
   -18.48718     0.00000
   -18.44818     0.00000
   -18.41018     0.00000
   -18.37118     0.00000
   -18.33218     0.00000
   -18.29418     0.00000
   -18.25518     0.00000
   -18.21618     0.00000
   -18.17818     0.00000
   -18.13918     0.00000
   -18.10018     0.00000
   -18.06218     0.00000
