      #Energy        TDOS
     -26.09793       0.00000
     -26.08693       0.00000
     -26.07593       0.00000
     -26.06493       0.00000
     -26.05293       0.00000
     -26.04193       0.00000
     -26.03093       0.00000
     -26.01993       0.00000
     -26.00893       0.00000
     -25.99793       0.00000
     -25.98693       0.00000
     -25.97493       0.00000
     -25.96393       0.00000
     -25.95293       0.00000
     -25.94193       0.00000
     -25.93093       0.00000
     -25.91993       0.00000
     -25.90793       0.00000
     -25.89693       0.00000
     -25.88593       0.00000
     -25.87493       0.00000
     -25.86393       0.00000
     -25.85293       0.00000
     -25.84193       0.00000
     -25.82993       0.00000
     -25.81893       0.00000
     -25.80793       0.00000
     -25.79693       0.00000
     -25.78593       0.00000
     -25.77493       0.00000
     -25.76293       0.00000
     -25.75193       0.00000
     -25.74093       0.00000
     -25.72993       0.00000
     -25.71893       0.00000
     -25.70793       0.00000
     -25.69593       0.00000
     -25.68493       0.00000
     -25.67393       0.00000
     -25.66293       0.00000
     -25.65193       0.00000
     -25.64093       0.00000
     -25.62993       0.00000
     -25.61793       0.00000
     -25.60693       0.00000
     -25.59593       0.00000
     -25.58493       0.00000
     -25.57393       0.00000
     -25.56293       0.00000
     -25.55093       0.00000
     -25.53993       0.00000
     -25.52893       0.00000
     -25.51793       0.00000
     -25.50693       0.00000
     -25.49593       0.00000
     -25.48493       0.00000
     -25.47293       0.00000
     -25.46193       0.00000
     -25.45093       0.00000
     -25.43993       0.00000
     -25.42893       0.00000
     -25.41793       0.00000
     -25.40593       0.00000
     -25.39493       0.00000
     -25.38393       0.00000
     -25.37293       0.00000
     -25.36193       0.00000
     -25.35093       0.00000
     -25.33993       0.00000
     -25.32793       0.00000
     -25.31693       0.00000
     -25.30593       0.00000
     -25.29493       0.00000
     -25.28393       0.00000
     -25.27293       0.00000
     -25.26093       0.00000
     -25.24993       0.00000
     -25.23893       0.00000
     -25.22793       0.00000
     -25.21693       0.00000
     -25.20593       0.00000
     -25.19393       0.00000
     -25.18293       0.00000
     -25.17193       0.00000
     -25.16093       0.00000
     -25.14993       0.00000
     -25.13893       0.00000
     -25.12793       0.00000
     -25.11593       0.00000
     -25.10493       0.00000
     -25.09393       0.00000
     -25.08293       0.00000
     -25.07193       0.00000
     -25.06093       0.00000
     -25.04893       0.00000
     -25.03793       0.00000
     -25.02693       0.00000
     -25.01593       0.00000
     -25.00493       0.00000
     -24.99393       0.00000
     -24.98293       0.00000
     -24.97093       0.00000
     -24.95993       0.00000
     -24.94893       0.00000
     -24.93793       0.00000
     -24.92693       0.00000
     -24.91593       0.00000
     -24.90393       0.00000
     -24.89293       0.00000
     -24.88193       0.00000
     -24.87093       0.00000
     -24.85993       0.00000
     -24.84893       0.00000
     -24.83693       0.00000
     -24.82593       0.00000
     -24.81493       0.00000
     -24.80393       0.00000
     -24.79293       0.00000
     -24.78193       0.00000
     -24.77093       0.00000
     -24.75893       0.00000
     -24.74793       0.00000
     -24.73693       0.00000
     -24.72593       0.00002
     -24.71493       0.00007
     -24.70393       0.00029
     -24.69193       0.00100
     -24.68093       0.00318
     -24.66993       0.00930
     -24.65893       0.02495
     -24.64793       0.06150
     -24.63693       0.13957
     -24.62593       0.29227
     -24.61393       0.56610
     -24.60293       1.01730
     -24.59193       1.70216
     -24.58093       2.66235
     -24.56993       3.91008
     -24.55893       5.41947
     -24.54693       7.12967
     -24.53593       8.95812
     -24.52493      10.82395
     -24.51393      12.67360
     -24.50293      14.49536
     -24.49193      16.32381
     -24.48093      18.22924
     -24.46893      20.29364
     -24.45793      22.58673
     -24.44693      25.14478
     -24.43593      27.95942
     -24.42493      30.98267
     -24.41393      34.14202
     -24.40193      37.36105
     -24.39093      40.57953
     -24.37993      43.76789
     -24.36893      46.93282
     -24.35793      50.11169
     -24.34693      53.35918
     -24.33493      56.73049
     -24.32393      60.26524
     -24.31293      63.97625
     -24.30193      67.84568
     -24.29093      71.82945
     -24.27993      75.87179
     -24.26893      79.92083
     -24.25693      83.94364
     -24.24593      87.93467
     -24.23493      91.91175
     -24.22393      95.90500
     -24.21293      99.94288
     -24.20193     104.04156
     -24.18993     108.20104
     -24.17893     112.40849
     -24.16793     116.64327
     -24.15693     120.88028
     -24.14593     125.08940
     -24.13493     129.23271
     -24.12393     133.26222
     -24.11193     137.12105
     -24.10093     140.74616
     -24.08993     144.07285
     -24.07893     147.04366
     -24.06793     149.61845
     -24.05693     151.78437
     -24.04493     153.56206
     -24.03393     155.00061
     -24.02293     156.16323
     -24.01193     157.11019
     -24.00093     157.88570
     -23.98993     158.51517
     -23.97793     159.01228
     -23.96693     159.38979
     -23.95593     159.66869
     -23.94493     159.88266
     -23.93393     160.07872
     -23.92293     160.31556
     -23.91193     160.66084
     -23.89993     161.18628
     -23.88893     161.95861
     -23.87793     163.02662
     -23.86693     164.40660
     -23.85593     166.07106
     -23.84493     167.94693
     -23.83293     169.92598
     -23.82193     171.88552
     -23.81093     173.71230
     -23.79993     175.32098
     -23.78893     176.66359
     -23.77793     177.72742
     -23.76693     178.52713
     -23.75493     179.09625
     -23.74393     179.47784
     -23.73293     179.71746
     -23.72193     179.85755
     -23.71093     179.93339
     -23.69993     179.97121
     -23.68793     179.98852
     -23.67693     179.99577
     -23.66593     179.99855
     -23.65493     179.99951
     -23.64393     179.99982
     -23.63293     179.99991
     -23.62093     179.99993
     -23.60993     179.99994
     -23.59893     179.99994
     -23.58793     179.99994
     -23.57693     179.99994
     -23.56593     179.99994
     -23.55493     179.99994
     -23.54293     179.99994
     -23.53193     179.99994
     -23.52093     179.99994
     -23.50993     179.99994
     -23.49893     179.99994
     -23.48793     179.99994
     -23.47593     179.99994
     -23.46493     179.99994
     -23.45393     179.99994
     -23.44293     179.99994
     -23.43193     179.99994
     -23.42093     179.99994
     -23.40993     179.99994
     -23.39793     179.99994
     -23.38693     179.99994
     -23.37593     179.99994
     -23.36493     179.99994
     -23.35393     179.99994
     -23.34293     179.99994
     -23.33093     179.99994
     -23.31993     179.99994
     -23.30893     179.99994
     -23.29793     179.99994
     -23.28693     179.99994
     -23.27593     179.99994
     -23.26493     179.99994
     -23.25293     179.99994
     -23.24193     179.99994
     -23.23093     179.99994
     -23.21993     179.99994
     -23.20893     179.99994
     -23.19793     179.99994
     -23.18593     179.99994
     -23.17493     179.99994
     -23.16393     179.99994
     -23.15293     179.99994
     -23.14193     179.99994
     -23.13093     179.99994
     -23.11893     179.99994
     -23.10793     179.99994
     -23.09693     179.99994
     -23.08593     179.99994
     -23.07493     179.99994
     -23.06393     179.99994
     -23.05293     179.99994
