     #Energy    7&10_all
   -26.09793     0.00000
   -26.08693     0.00000
   -26.07593     0.00000
   -26.06493     0.00000
   -26.05293     0.00000
   -26.04193     0.00000
   -26.03093     0.00000
   -26.01993     0.00000
   -26.00893     0.00000
   -25.99793     0.00000
   -25.98693     0.00000
   -25.97493     0.00000
   -25.96393     0.00000
   -25.95293     0.00000
   -25.94193     0.00000
   -25.93093     0.00000
   -25.91993     0.00000
   -25.90793     0.00000
   -25.89693     0.00000
   -25.88593     0.00000
   -25.87493     0.00000
   -25.86393     0.00000
   -25.85293     0.00000
   -25.84193     0.00000
   -25.82993     0.00000
   -25.81893     0.00000
   -25.80793     0.00000
   -25.79693     0.00000
   -25.78593     0.00000
   -25.77493     0.00000
   -25.76293     0.00000
   -25.75193     0.00000
   -25.74093     0.00000
   -25.72993     0.00000
   -25.71893     0.00000
   -25.70793     0.00000
   -25.69593     0.00000
   -25.68493     0.00000
   -25.67393     0.00000
   -25.66293     0.00000
   -25.65193     0.00000
   -25.64093     0.00000
   -25.62993     0.00000
   -25.61793     0.00000
   -25.60693     0.00000
   -25.59593     0.00000
   -25.58493     0.00000
   -25.57393     0.00000
   -25.56293     0.00000
   -25.55093     0.00000
   -25.53993     0.00000
   -25.52893     0.00000
   -25.51793     0.00000
   -25.50693     0.00000
   -25.49593     0.00000
   -25.48493     0.00000
   -25.47293     0.00000
   -25.46193     0.00000
   -25.45093     0.00000
   -25.43993     0.00000
   -25.42893     0.00000
   -25.41793     0.00000
   -25.40593     0.00000
   -25.39493     0.00000
   -25.38393     0.00000
   -25.37293     0.00000
   -25.36193     0.00000
   -25.35093     0.00000
   -25.33993     0.00000
   -25.32793     0.00000
   -25.31693     0.00000
   -25.30593     0.00000
   -25.29493     0.00000
   -25.28393     0.00000
   -25.27293     0.00000
   -25.26093     0.00000
   -25.24993     0.00000
   -25.23893     0.00000
   -25.22793     0.00000
   -25.21693     0.00000
   -25.20593     0.00000
   -25.19393     0.00000
   -25.18293     0.00000
   -25.17193     0.00000
   -25.16093     0.00000
   -25.14993     0.00000
   -25.13893     0.00000
   -25.12793     0.00000
   -25.11593     0.00000
   -25.10493     0.00000
   -25.09393     0.00000
   -25.08293     0.00000
   -25.07193     0.00000
   -25.06093     0.00000
   -25.04893     0.00000
   -25.03793     0.00000
   -25.02693     0.00000
   -25.01593     0.00000
   -25.00493     0.00000
   -24.99393     0.00000
   -24.98293     0.00000
   -24.97093     0.00000
   -24.95993     0.00000
   -24.94893     0.00000
   -24.93793     0.00000
   -24.92693     0.00000
   -24.91593     0.00000
   -24.90393     0.00000
   -24.89293     0.00000
   -24.88193     0.00000
   -24.87093     0.00000
   -24.85993     0.00000
   -24.84893     0.00000
   -24.83693     0.00000
   -24.82593     0.00000
   -24.81493     0.00000
   -24.80393     0.00000
   -24.79293     0.00000
   -24.78193     0.00000
   -24.77093     0.00000
   -24.75893     0.00000
   -24.74793     0.00000
   -24.73693     0.00000
   -24.72593     0.00000
   -24.71493     0.00001
   -24.70393     0.00003
   -24.69193     0.00010
   -24.68093     0.00031
   -24.66993     0.00090
   -24.65893     0.00238
   -24.64793     0.00580
   -24.63693     0.01314
   -24.62593     0.02767
   -24.61393     0.05435
   -24.60293     0.09978
   -24.59193     0.17139
   -24.58093     0.27589
   -24.56993     0.41712
   -24.55893     0.59537
   -24.54693     0.81138
   -24.53593     1.07390
   -24.52493     1.41577
   -24.51393     1.90373
   -24.50293     2.63717
   -24.49193     3.72097
   -24.48093     5.21907
   -24.46893     7.09667
   -24.45793     9.18507
   -24.44693    11.20112
   -24.43593    12.82790
   -24.42493    13.80706
   -24.41393    14.06060
   -24.40193    13.70110
   -24.39093    13.00047
   -24.37993    12.29395
   -24.36893    11.87552
   -24.35793    11.90593
   -24.34693    12.40953
   -24.33493    13.28744
   -24.32393    14.38774
   -24.31293    15.55567
   -24.30193    16.72077
   -24.29093    17.99054
   -24.27993    19.64374
   -24.26893    22.13688
   -24.25693    25.96229
   -24.24593    31.47787
   -24.23493    38.74281
   -24.22393    47.44379
   -24.21293    56.99129
   -24.20193    66.75202
   -24.18993    76.32064
   -24.17893    85.63987
   -24.16793    94.76557
   -24.15693   103.55275
   -24.14593   111.28050
   -24.13493   116.51992
   -24.12393   117.66104
   -24.11193   113.43586
   -24.10093   103.65634
   -24.08993    89.24653
   -24.07893    72.08852
   -24.06793    54.45749
   -24.05693    38.35563
   -24.04493    25.10607
   -24.03393    15.22988
   -24.02293     8.53237
   -24.01193     4.40447
   -24.00093     2.08866
   -23.98993     0.90776
   -23.97793     0.36096
   -23.96693     0.13106
   -23.95593     0.04340
   -23.94493     0.01309
   -23.93393     0.00359
   -23.92293     0.00090
   -23.91193     0.00020
   -23.89993     0.00004
   -23.88893     0.00001
   -23.87793     0.00000
   -23.86693     0.00000
   -23.85593     0.00000
   -23.84493     0.00000
   -23.83293     0.00000
   -23.82193     0.00000
   -23.81093     0.00000
   -23.79993     0.00000
   -23.78893     0.00000
   -23.77793     0.00000
   -23.76693     0.00000
   -23.75493     0.00000
   -23.74393     0.00000
   -23.73293     0.00000
   -23.72193     0.00000
   -23.71093     0.00000
   -23.69993     0.00000
   -23.68793     0.00000
   -23.67693     0.00000
   -23.66593     0.00000
   -23.65493     0.00000
   -23.64393     0.00000
   -23.63293     0.00000
   -23.62093     0.00000
   -23.60993     0.00000
   -23.59893     0.00000
   -23.58793     0.00000
   -23.57693     0.00000
   -23.56593     0.00000
   -23.55493     0.00000
   -23.54293     0.00000
   -23.53193     0.00000
   -23.52093     0.00000
   -23.50993     0.00000
   -23.49893     0.00000
   -23.48793     0.00000
   -23.47593     0.00000
   -23.46493     0.00000
   -23.45393     0.00000
   -23.44293     0.00000
   -23.43193     0.00000
   -23.42093     0.00000
   -23.40993     0.00000
   -23.39793     0.00000
   -23.38693     0.00000
   -23.37593     0.00000
   -23.36493     0.00000
   -23.35393     0.00000
   -23.34293     0.00000
   -23.33093     0.00000
   -23.31993     0.00000
   -23.30893     0.00000
   -23.29793     0.00000
   -23.28693     0.00000
   -23.27593     0.00000
   -23.26493     0.00000
   -23.25293     0.00000
   -23.24193     0.00000
   -23.23093     0.00000
   -23.21993     0.00000
   -23.20893     0.00000
   -23.19793     0.00000
   -23.18593     0.00000
   -23.17493     0.00000
   -23.16393     0.00000
   -23.15293     0.00000
   -23.14193     0.00000
   -23.13093     0.00000
   -23.11893     0.00000
   -23.10793     0.00000
   -23.09693     0.00000
   -23.08593     0.00000
   -23.07493     0.00000
   -23.06393     0.00000
   -23.05293     0.00000
