     #Energy      Ge_all
   -26.09793     0.00000
   -26.08693     0.00000
   -26.07593     0.00000
   -26.06493     0.00000
   -26.05293     0.00000
   -26.04193     0.00000
   -26.03093     0.00000
   -26.01993     0.00000
   -26.00893     0.00000
   -25.99793     0.00000
   -25.98693     0.00000
   -25.97493     0.00000
   -25.96393     0.00000
   -25.95293     0.00000
   -25.94193     0.00000
   -25.93093     0.00000
   -25.91993     0.00000
   -25.90793     0.00000
   -25.89693     0.00000
   -25.88593     0.00000
   -25.87493     0.00000
   -25.86393     0.00000
   -25.85293     0.00000
   -25.84193     0.00000
   -25.82993     0.00000
   -25.81893     0.00000
   -25.80793     0.00000
   -25.79693     0.00000
   -25.78593     0.00000
   -25.77493     0.00000
   -25.76293     0.00000
   -25.75193     0.00000
   -25.74093     0.00000
   -25.72993     0.00000
   -25.71893     0.00000
   -25.70793     0.00000
   -25.69593     0.00000
   -25.68493     0.00000
   -25.67393     0.00000
   -25.66293     0.00000
   -25.65193     0.00000
   -25.64093     0.00000
   -25.62993     0.00000
   -25.61793     0.00000
   -25.60693     0.00000
   -25.59593     0.00000
   -25.58493     0.00000
   -25.57393     0.00000
   -25.56293     0.00000
   -25.55093     0.00000
   -25.53993     0.00000
   -25.52893     0.00000
   -25.51793     0.00000
   -25.50693     0.00000
   -25.49593     0.00000
   -25.48493     0.00000
   -25.47293     0.00000
   -25.46193     0.00000
   -25.45093     0.00000
   -25.43993     0.00000
   -25.42893     0.00000
   -25.41793     0.00000
   -25.40593     0.00000
   -25.39493     0.00000
   -25.38393     0.00000
   -25.37293     0.00000
   -25.36193     0.00000
   -25.35093     0.00000
   -25.33993     0.00000
   -25.32793     0.00000
   -25.31693     0.00000
   -25.30593     0.00000
   -25.29493     0.00000
   -25.28393     0.00000
   -25.27293     0.00000
   -25.26093     0.00000
   -25.24993     0.00000
   -25.23893     0.00000
   -25.22793     0.00000
   -25.21693     0.00000
   -25.20593     0.00000
   -25.19393     0.00000
   -25.18293     0.00000
   -25.17193     0.00000
   -25.16093     0.00000
   -25.14993     0.00000
   -25.13893     0.00000
   -25.12793     0.00000
   -25.11593     0.00000
   -25.10493     0.00000
   -25.09393     0.00000
   -25.08293     0.00000
   -25.07193     0.00000
   -25.06093     0.00000
   -25.04893     0.00000
   -25.03793     0.00000
   -25.02693     0.00000
   -25.01593     0.00000
   -25.00493     0.00000
   -24.99393     0.00000
   -24.98293     0.00000
   -24.97093     0.00000
   -24.95993     0.00000
   -24.94893     0.00000
   -24.93793     0.00000
   -24.92693     0.00000
   -24.91593     0.00000
   -24.90393     0.00000
   -24.89293     0.00000
   -24.88193     0.00000
   -24.87093     0.00000
   -24.85993     0.00000
   -24.84893     0.00000
   -24.83693     0.00000
   -24.82593     0.00000
   -24.81493     0.00000
   -24.80393     0.00000
   -24.79293     0.00000
   -24.78193     0.00000
   -24.77093     0.00000
   -24.75893     0.00002
   -24.74793     0.00010
   -24.73693     0.00046
   -24.72593     0.00203
   -24.71493     0.00810
   -24.70393     0.02941
   -24.69193     0.09710
   -24.68093     0.29167
   -24.66993     0.79785
   -24.65893     1.98852
   -24.64793     4.52021
   -24.63693     9.38230
   -24.62593    17.80570
   -24.61393    30.95481
   -24.60293    49.39849
   -24.59193    72.56065
   -24.58093    98.42281
   -24.56993   123.77993
   -24.55893   145.05843
   -24.54693   159.50648
   -24.53593   166.10023
   -24.52493   166.21937
   -24.51393   163.15183
   -24.50293   161.21372
   -24.49193   164.34253
   -24.48093   174.87492
   -24.46893   192.75042
   -24.45793   215.68415
   -24.44693   239.88806
   -24.43593   261.38451
   -24.42493   277.08792
   -24.41393   285.65885
   -24.40193   287.76867
   -24.39093   285.64748
   -24.37993   282.52029
   -24.36893   281.56927
   -24.35793   285.07771
   -24.34693   293.85962
   -24.33493   307.23307
   -24.32393   323.10967
   -24.31293   338.74347
   -24.30193   351.44267
   -24.29093   359.29744
   -24.27993   361.98219
   -24.26893   360.59997
   -24.25693   357.44372
   -24.24593   354.97645
   -24.23493   354.97729
   -24.22393   357.91243
   -24.21293   362.99586
   -24.20193   368.79711
   -24.18993   373.89180
   -24.17893   377.40475
   -24.16793   378.84820
   -24.15693   377.85442
   -24.14593   373.86990
   -24.13493   366.02189
   -24.12393   353.48057
   -24.11193   335.46234
   -24.10093   311.65764
   -24.08993   282.22691
   -24.07893   248.09130
   -24.06793   211.40632
   -24.05693   175.06643
   -24.04493   142.06262
   -24.03393   114.51006
   -24.02293    92.84786
   -24.01193    76.04062
   -24.00093    62.25503
   -23.98993    49.99199
   -23.97793    38.64783
   -23.96693    28.66342
   -23.95593    21.06773
   -23.94493    17.09637
   -23.93393    17.88565
   -23.92293    24.38993
   -23.91193    37.25756
   -23.89993    56.55161
   -23.88893    81.33768
   -23.87793   109.35265
   -23.86693   137.04183
   -23.85593   160.16038
   -23.84493   174.81236
   -23.83293   178.64554
   -23.82193   171.35397
   -23.81093   154.90821
   -23.79993   132.44424
   -23.78893   107.37627
   -23.77793    82.62529
   -23.76693    60.24150
   -23.75493    41.44225
   -23.74393    26.74083
   -23.73293    16.07967
   -23.72193     8.95583
   -23.71093     4.59545
   -23.69993     2.16302
   -23.68793     0.93082
   -23.67693     0.36541
   -23.66593     0.13061
   -23.65493     0.04245
   -23.64393     0.01254
   -23.63293     0.00336
   -23.62093     0.00082
   -23.60993     0.00018
   -23.59893     0.00004
   -23.58793     0.00001
   -23.57693     0.00000
   -23.56593     0.00000
   -23.55493     0.00000
   -23.54293     0.00000
   -23.53193     0.00000
   -23.52093     0.00000
   -23.50993     0.00000
   -23.49893     0.00000
   -23.48793     0.00000
   -23.47593     0.00000
   -23.46493     0.00000
   -23.45393     0.00000
   -23.44293     0.00000
   -23.43193     0.00000
   -23.42093     0.00000
   -23.40993     0.00000
   -23.39793     0.00000
   -23.38693     0.00000
   -23.37593     0.00000
   -23.36493     0.00000
   -23.35393     0.00000
   -23.34293     0.00000
   -23.33093     0.00000
   -23.31993     0.00000
   -23.30893     0.00000
   -23.29793     0.00000
   -23.28693     0.00000
   -23.27593     0.00000
   -23.26493     0.00000
   -23.25293     0.00000
   -23.24193     0.00000
   -23.23093     0.00000
   -23.21993     0.00000
   -23.20893     0.00000
   -23.19793     0.00000
   -23.18593     0.00000
   -23.17493     0.00000
   -23.16393     0.00000
   -23.15293     0.00000
   -23.14193     0.00000
   -23.13093     0.00000
   -23.11893     0.00000
   -23.10793     0.00000
   -23.09693     0.00000
   -23.08593     0.00000
   -23.07493     0.00000
   -23.06393     0.00000
   -23.05293     0.00000
