      #Energy        TDOS
     -26.09793       0.00000
     -26.08693       0.00000
     -26.07593       0.00000
     -26.06493       0.00000
     -26.05293       0.00000
     -26.04193       0.00000
     -26.03093       0.00000
     -26.01993       0.00000
     -26.00893       0.00000
     -25.99793       0.00000
     -25.98693       0.00000
     -25.97493       0.00000
     -25.96393       0.00000
     -25.95293       0.00000
     -25.94193       0.00000
     -25.93093       0.00000
     -25.91993       0.00000
     -25.90793       0.00000
     -25.89693       0.00000
     -25.88593       0.00000
     -25.87493       0.00000
     -25.86393       0.00000
     -25.85293       0.00000
     -25.84193       0.00000
     -25.82993       0.00000
     -25.81893       0.00000
     -25.80793       0.00000
     -25.79693       0.00000
     -25.78593       0.00000
     -25.77493       0.00000
     -25.76293       0.00000
     -25.75193       0.00000
     -25.74093       0.00000
     -25.72993       0.00000
     -25.71893       0.00000
     -25.70793       0.00000
     -25.69593       0.00000
     -25.68493       0.00000
     -25.67393       0.00000
     -25.66293       0.00000
     -25.65193       0.00000
     -25.64093       0.00000
     -25.62993       0.00000
     -25.61793       0.00000
     -25.60693       0.00000
     -25.59593       0.00000
     -25.58493       0.00000
     -25.57393       0.00000
     -25.56293       0.00000
     -25.55093       0.00000
     -25.53993       0.00000
     -25.52893       0.00000
     -25.51793       0.00000
     -25.50693       0.00000
     -25.49593       0.00000
     -25.48493       0.00000
     -25.47293       0.00000
     -25.46193       0.00000
     -25.45093       0.00000
     -25.43993       0.00000
     -25.42893       0.00000
     -25.41793       0.00000
     -25.40593       0.00000
     -25.39493       0.00000
     -25.38393       0.00000
     -25.37293       0.00000
     -25.36193       0.00000
     -25.35093       0.00000
     -25.33993       0.00000
     -25.32793       0.00000
     -25.31693       0.00000
     -25.30593       0.00000
     -25.29493       0.00000
     -25.28393       0.00000
     -25.27293       0.00000
     -25.26093       0.00000
     -25.24993       0.00000
     -25.23893       0.00000
     -25.22793       0.00000
     -25.21693       0.00000
     -25.20593       0.00000
     -25.19393       0.00000
     -25.18293       0.00000
     -25.17193       0.00000
     -25.16093       0.00000
     -25.14993       0.00000
     -25.13893       0.00000
     -25.12793       0.00000
     -25.11593       0.00000
     -25.10493       0.00000
     -25.09393       0.00000
     -25.08293       0.00000
     -25.07193       0.00000
     -25.06093       0.00000
     -25.04893       0.00000
     -25.03793       0.00000
     -25.02693       0.00000
     -25.01593       0.00000
     -25.00493       0.00000
     -24.99393       0.00000
     -24.98293       0.00000
     -24.97093       0.00000
     -24.95993       0.00000
     -24.94893       0.00000
     -24.93793       0.00000
     -24.92693       0.00000
     -24.91593       0.00000
     -24.90393       0.00000
     -24.89293       0.00000
     -24.88193       0.00000
     -24.87093       0.00000
     -24.85993       0.00000
     -24.84893       0.00000
     -24.83693       0.00000
     -24.82593       0.00000
     -24.81493       0.00000
     -24.80393       0.00000
     -24.79293       0.00000
     -24.78193       0.00000
     -24.77093       0.00000
     -24.75893       0.00002
     -24.74793       0.00010
     -24.73693       0.00047
     -24.72593       0.00204
     -24.71493       0.00816
     -24.70393       0.02961
     -24.69193       0.09775
     -24.68093       0.29370
     -24.66993       0.80320
     -24.65893       2.00200
     -24.64793       4.55100
     -24.63693       9.44600
     -24.62593      17.93000
     -24.61393      31.16000
     -24.60293      49.73000
     -24.59193      73.05000
     -24.58093      99.09000
     -24.56993     124.60000
     -24.55893     146.00000
     -24.54693     160.60000
     -24.53593     167.20000
     -24.52493     167.30000
     -24.51393     164.30000
     -24.50293     162.30000
     -24.49193     165.50000
     -24.48093     176.10000
     -24.46893     194.00000
     -24.45793     217.10000
     -24.44693     241.50000
     -24.43593     263.10000
     -24.42493     278.90000
     -24.41393     287.50000
     -24.40193     289.60000
     -24.39093     287.40000
     -24.37993     284.20000
     -24.36893     283.20000
     -24.35793     286.70000
     -24.34693     295.50000
     -24.33493     308.90000
     -24.32393     324.80000
     -24.31293     340.50000
     -24.30193     353.20000
     -24.29093     361.00000
     -24.27993     363.70000
     -24.26893     362.20000
     -24.25693     359.00000
     -24.24593     356.50000
     -24.23493     356.50000
     -24.22393     359.40000
     -24.21293     364.50000
     -24.20193     370.30000
     -24.18993     375.40000
     -24.17893     378.90000
     -24.16793     380.30000
     -24.15693     379.30000
     -24.14593     375.30000
     -24.13493     367.50000
     -24.12393     354.90000
     -24.11193     336.90000
     -24.10093     313.00000
     -24.08993     283.40000
     -24.07893     249.20000
     -24.06793     212.40000
     -24.05693     175.90000
     -24.04493     142.80000
     -24.03393     115.10000
     -24.02293      93.33000
     -24.01193      76.44000
     -24.00093      62.59000
     -23.98993      50.26000
     -23.97793      38.86000
     -23.96693      28.82000
     -23.95593      21.18000
     -23.94493      17.18000
     -23.93393      17.97000
     -23.92293      24.49000
     -23.91193      37.41000
     -23.89993      56.79000
     -23.88893      81.67000
     -23.87793     109.80000
     -23.86693     137.60000
     -23.85593     160.80000
     -23.84493     175.50000
     -23.83293     179.30000
     -23.82193     172.00000
     -23.81093     155.50000
     -23.79993     132.90000
     -23.78893     107.80000
     -23.77793      82.92000
     -23.76693      60.45000
     -23.75493      41.58000
     -23.74393      26.83000
     -23.73293      16.13000
     -23.72193       8.98500
     -23.71093       4.61000
     -23.69993       2.17000
     -23.68793       0.93380
     -23.67693       0.36650
     -23.66593       0.13100
     -23.65493       0.04258
     -23.64393       0.01257
     -23.63293       0.00337
     -23.62093       0.00082
     -23.60993       0.00018
     -23.59893       0.00004
     -23.58793       0.00001
     -23.57693       0.00000
     -23.56593       0.00000
     -23.55493       0.00000
     -23.54293       0.00000
     -23.53193       0.00000
     -23.52093       0.00000
     -23.50993       0.00000
     -23.49893       0.00000
     -23.48793       0.00000
     -23.47593       0.00000
     -23.46493       0.00000
     -23.45393       0.00000
     -23.44293       0.00000
     -23.43193       0.00000
     -23.42093       0.00000
     -23.40993       0.00000
     -23.39793       0.00000
     -23.38693       0.00000
     -23.37593       0.00000
     -23.36493       0.00000
     -23.35393       0.00000
     -23.34293       0.00000
     -23.33093       0.00000
     -23.31993       0.00000
     -23.30893       0.00000
     -23.29793       0.00000
     -23.28693       0.00000
     -23.27593       0.00000
     -23.26493       0.00000
     -23.25293       0.00000
     -23.24193       0.00000
     -23.23093       0.00000
     -23.21993       0.00000
     -23.20893       0.00000
     -23.19793       0.00000
     -23.18593       0.00000
     -23.17493       0.00000
     -23.16393       0.00000
     -23.15293       0.00000
     -23.14193       0.00000
     -23.13093       0.00000
     -23.11893       0.00000
     -23.10793       0.00000
     -23.09693       0.00000
     -23.08593       0.00000
     -23.07493       0.00000
     -23.06393       0.00000
     -23.05293       0.00000
