    # Energy          Ge           H
   -29.54459     0.00000     0.00000
   -29.53159     0.00000     0.00000
   -29.51859     0.00000     0.00000
   -29.50659     0.00000     0.00000
   -29.49359     0.00000     0.00000
   -29.48159     0.00000     0.00000
   -29.46859     0.00000     0.00000
   -29.45659     0.00000     0.00000
   -29.44359     0.00000     0.00000
   -29.43059     0.00000     0.00000
   -29.41859     0.00000     0.00000
   -29.40559     0.00000     0.00000
   -29.39359     0.00000     0.00000
   -29.38059     0.00000     0.00000
   -29.36759     0.00000     0.00000
   -29.35559     0.00000     0.00000
   -29.34259     0.00000     0.00000
   -29.33059     0.00000     0.00000
   -29.31759     0.00000     0.00000
   -29.30559     0.00000     0.00000
   -29.29259     0.00000     0.00000
   -29.27959     0.00000     0.00000
   -29.26759     0.00000     0.00000
   -29.25459     0.00000     0.00000
   -29.24259     0.00000     0.00000
   -29.22959     0.00000     0.00000
   -29.21659     0.00000     0.00000
   -29.20459     0.00000     0.00000
   -29.19159     0.00000     0.00000
   -29.17959     0.00000     0.00000
   -29.16659     0.00000     0.00000
   -29.15459     0.00000     0.00000
   -29.14159     0.00000     0.00000
   -29.12859     0.00000     0.00000
   -29.11659     0.00000     0.00000
   -29.10359     0.00000     0.00000
   -29.09159     0.00000     0.00000
   -29.07859     0.00000     0.00000
   -29.06659     0.00000     0.00000
   -29.05359     0.00000     0.00000
   -29.04059     0.00000     0.00000
   -29.02859     0.00000     0.00000
   -29.01559     0.00000     0.00000
   -29.00359     0.00000     0.00000
   -28.99059     0.00000     0.00000
   -28.97759     0.00000     0.00000
   -28.96559     0.00000     0.00000
   -28.95259     0.00000     0.00000
   -28.94059     0.00000     0.00000
   -28.92759     0.00000     0.00000
   -28.91559     0.00000     0.00000
   -28.90259     0.00000     0.00000
   -28.88959     0.00000     0.00000
   -28.87759     0.00000     0.00000
   -28.86459     0.00000     0.00000
   -28.85259     0.00000     0.00000
   -28.83959     0.00000     0.00000
   -28.82659     0.00000     0.00000
   -28.81459     0.00000     0.00000
   -28.80159     0.00000     0.00000
   -28.78959     0.00000     0.00000
   -28.77659     0.00000     0.00000
   -28.76459     0.00000     0.00000
   -28.75159     0.00000     0.00000
   -28.73859     0.00000     0.00000
   -28.72659     0.00000     0.00000
   -28.71359     0.00000     0.00000
   -28.70159     0.00000     0.00000
   -28.68859     0.00000     0.00000
   -28.67559     0.00000     0.00000
   -28.66359     0.00000     0.00000
   -28.65059     0.00000     0.00000
   -28.63859     0.00000     0.00000
   -28.62559     0.00000     0.00000
