# E_raw(eV)  DOS(states/eV)  E_minus_Ef(eV)  E_minus_Evac_left(eV)  E_minus_Evac_right(eV)  E_minus_Vmid(eV)
-3.007400000000000162e+01 0.000000000000000000e+00 -2.954459341000000094e+01 -3.498833997477950675e+01 -3.423545695176216697e+01 -2.511586819937089743e+01
-3.006099999999999994e+01 0.000000000000000000e+00 -2.953159340999999927e+01 -3.497533997477950862e+01 -3.422245695176216884e+01 -2.510286819937089575e+01
-3.004799999999999827e+01 0.000000000000000000e+00 -2.951859340999999759e+01 -3.496233997477950339e+01 -3.420945695176216361e+01 -2.508986819937089408e+01
-3.003600000000000136e+01 0.000000000000000000e+00 -2.950659341000000069e+01 -3.495033997477951004e+01 -3.419745695176217026e+01 -2.507786819937089717e+01
-3.002299999999999969e+01 0.000000000000000000e+00 -2.949359340999999901e+01 -3.493733997477950481e+01 -3.418445695176216503e+01 -2.506486819937089550e+01
-3.001099999999999923e+01 0.000000000000000000e+00 -2.948159340999999856e+01 -3.492533997477950436e+01 -3.417245695176216458e+01 -2.505286819937089504e+01
-2.999800000000000111e+01 0.000000000000000000e+00 -2.946859341000000043e+01 -3.491233997477950624e+01 -3.415945695176216645e+01 -2.503986819937089692e+01
-2.998600000000000065e+01 0.000000000000000000e+00 -2.945659340999999998e+01 -3.490033997477950578e+01 -3.414745695176216600e+01 -2.502786819937089646e+01
-2.997299999999999898e+01 0.000000000000000000e+00 -2.944359340999999830e+01 -3.488733997477950766e+01 -3.413445695176216788e+01 -2.501486819937089479e+01
-2.996000000000000085e+01 0.000000000000000000e+00 -2.943059341000000018e+01 -3.487433997477950953e+01 -3.412145695176216975e+01 -2.500186819937089666e+01
-2.994800000000000040e+01 0.000000000000000000e+00 -2.941859340999999972e+01 -3.486233997477950908e+01 -3.410945695176216930e+01 -2.498986819937089621e+01
-2.993499999999999872e+01 0.000000000000000000e+00 -2.940559340999999804e+01 -3.484933997477950385e+01 -3.409645695176216407e+01 -2.497686819937089453e+01
-2.992299999999999827e+01 0.000000000000000000e+00 -2.939359340999999759e+01 -3.483733997477950339e+01 -3.408445695176216361e+01 -2.496486819937089408e+01
-2.991000000000000014e+01 0.000000000000000000e+00 -2.938059340999999947e+01 -3.482433997477950527e+01 -3.407145695176216549e+01 -2.495186819937089595e+01
-2.989699999999999847e+01 0.000000000000000000e+00 -2.936759340999999779e+01 -3.481133997477950714e+01 -3.405845695176216736e+01 -2.493886819937089427e+01
-2.988500000000000156e+01 0.000000000000000000e+00 -2.935559341000000089e+01 -3.479933997477950669e+01 -3.404645695176216691e+01 -2.492686819937089737e+01
-2.987199999999999989e+01 0.000000000000000000e+00 -2.934259340999999921e+01 -3.478633997477950857e+01 -3.403345695176216879e+01 -2.491386819937089570e+01
-2.985999999999999943e+01 0.000000000000000000e+00 -2.933059340999999876e+01 -3.477433997477950811e+01 -3.402145695176216833e+01 -2.490186819937089524e+01
-2.984700000000000131e+01 0.000000000000000000e+00 -2.931759341000000063e+01 -3.476133997477950999e+01 -3.400845695176217021e+01 -2.488886819937089712e+01
-2.983500000000000085e+01 0.000000000000000000e+00 -2.930559341000000018e+01 -3.474933997477950953e+01 -3.399645695176216975e+01 -2.487686819937089666e+01
-2.982199999999999918e+01 0.000000000000000000e+00 -2.929259340999999850e+01 -3.473633997477950430e+01 -3.398345695176216452e+01 -2.486386819937089498e+01
-2.980900000000000105e+01 0.000000000000000000e+00 -2.927959341000000038e+01 -3.472333997477950618e+01 -3.397045695176216640e+01 -2.485086819937089686e+01
-2.979700000000000060e+01 0.000000000000000000e+00 -2.926759340999999992e+01 -3.471133997477950572e+01 -3.395845695176216594e+01 -2.483886819937089641e+01
-2.978399999999999892e+01 0.000000000000000000e+00 -2.925459340999999824e+01 -3.469833997477950760e+01 -3.394545695176216782e+01 -2.482586819937089473e+01
-2.977199999999999847e+01 0.000000000000000000e+00 -2.924259340999999779e+01 -3.468633997477950714e+01 -3.393345695176216736e+01 -2.481386819937089427e+01
-2.975900000000000034e+01 0.000000000000000000e+00 -2.922959340999999966e+01 -3.467333997477950902e+01 -3.392045695176216924e+01 -2.480086819937089615e+01
-2.974599999999999866e+01 0.000000000000000000e+00 -2.921659340999999799e+01 -3.466033997477950379e+01 -3.390745695176216401e+01 -2.478786819937089447e+01
-2.973400000000000176e+01 0.000000000000000000e+00 -2.920459341000000109e+01 -3.464833997477951044e+01 -3.389545695176217066e+01 -2.477586819937089757e+01
-2.972100000000000009e+01 0.000000000000000000e+00 -2.919159340999999941e+01 -3.463533997477950521e+01 -3.388245695176216543e+01 -2.476286819937089589e+01
-2.970899999999999963e+01 0.000000000000000000e+00 -2.917959340999999895e+01 -3.462333997477950476e+01 -3.387045695176216498e+01 -2.475086819937089544e+01
-2.969600000000000151e+01 0.000000000000000000e+00 -2.916659341000000083e+01 -3.461033997477950663e+01 -3.385745695176216685e+01 -2.473786819937089732e+01
-2.968400000000000105e+01 0.000000000000000000e+00 -2.915459341000000038e+01 -3.459833997477950618e+01 -3.384545695176216640e+01 -2.472586819937089686e+01
-2.967099999999999937e+01 0.000000000000000000e+00 -2.914159340999999870e+01 -3.458533997477950805e+01 -3.383245695176216827e+01 -2.471286819937089518e+01
