      #Energy        TDOS
     -13.11717       0.00000
     -13.10517       0.00000
     -13.09317       0.00000
     -13.08117       0.00000
     -13.06917       0.00000
     -13.05717       0.00000
     -13.04517       0.00000
     -13.03317       0.00000
     -13.02117       0.00000
     -13.00917       0.00000
     -12.99717       0.00000
     -12.98517       0.00000
     -12.97317       0.00000
     -12.96117       0.00000
     -12.94917       0.00000
     -12.93717       0.00000
     -12.92517       0.00000
     -12.91317       0.00000
     -12.90117       0.00000
     -12.88917       0.00000
     -12.87717       0.00000
     -12.86617       0.00000
     -12.85417       0.00000
     -12.84217       0.00000
     -12.83017       0.00000
     -12.81817       0.00000
     -12.80617       0.00000
     -12.79417       0.00000
     -12.78217       0.00000
     -12.77017       0.00000
     -12.75817       0.00000
     -12.74617       0.00000
     -12.73417       0.00000
     -12.72217       0.00000
     -12.71017       0.00000
     -12.69817       0.00000
     -12.68617       0.00000
     -12.67417       0.00000
     -12.66217       0.00000
     -12.65017       0.00000
     -12.63817       0.00000
     -12.62617       0.00000
     -12.61417       0.00000
     -12.60217       0.00000
     -12.59017       0.00000
     -12.57817       0.00000
     -12.56617       0.00000
     -12.55417       0.00000
     -12.54217       0.00000
     -12.53017       0.00000
     -12.51817       0.00000
     -12.50617       0.00000
     -12.49417       0.00000
     -12.48217       0.00000
     -12.47017       0.00000
     -12.45817       0.00000
     -12.44617       0.00000
     -12.43417       0.00000
     -12.42217       0.00000
     -12.41017       0.00000
     -12.39817       0.00000
     -12.38617       0.00000
     -12.37417       0.00000
     -12.36217       0.00000
     -12.35017       0.00000
     -12.33817       0.00000
     -12.32617       0.00000
     -12.31417       0.00000
     -12.30217       0.00000
     -12.29017       0.00000
     -12.27817       0.00000
     -12.26617       0.00000
     -12.25417       0.00000
     -12.24217       0.00000
     -12.23017       0.00000
     -12.21817       0.00000
     -12.20617       0.00000
     -12.19417       0.00000
     -12.18217       0.00000
     -12.17017       0.00000
     -12.15817       0.00000
     -12.14617       0.00001
     -12.13417       0.00002
     -12.12217       0.00007
     -12.11017       0.00021
     -12.09817       0.00054
     -12.08617       0.00127
     -12.07417       0.00271
     -12.06217       0.00527
     -12.05017       0.00940
     -12.03817       0.01543
     -12.02617       0.02344
     -12.01417       0.03317
     -12.00217       0.04409
     -11.99017       0.05549
     -11.97817       0.06676
     -11.96617       0.07740
     -11.95417       0.08715
     -11.94217       0.09590
     -11.93017       0.10380
     -11.91817       0.11110
     -11.90617       0.11820
     -11.89417       0.12510
     -11.88217       0.13140
     -11.87017       0.13700
     -11.85817       0.14180
     -11.84617       0.14630
     -11.83417       0.15140
     -11.82217       0.15750
     -11.81017       0.16400
     -11.79817       0.16990
     -11.78617       0.17400
     -11.77417       0.17640
     -11.76217       0.17830
     -11.75017       0.18120
     -11.73817       0.18610
     -11.72617       0.19300
     -11.71417       0.20060
     -11.70217       0.20720
     -11.69017       0.21130
     -11.67817       0.21240
     -11.66617       0.21140
     -11.65417       0.21030
     -11.64217       0.21170
