# E_raw(eV)  PDOS(states/eV)  E_minus_Ef(eV)  E_minus_Evac_left(eV)  E_minus_Evac_right(eV)  E_minus_Vmid(eV)
-3.086700000000000088e+01 0.000000000000000000e+00 -2.998888159000000186e+01 -3.434144230423112276e+01 -3.459247869820406152e+01 -2.545922594221459434e+01
-3.085500000000000043e+01 0.000000000000000000e+00 -2.997688159000000141e+01 -3.432944230423112231e+01 -3.458047869820406106e+01 -2.544722594221459389e+01
-3.084199999999999875e+01 0.000000000000000000e+00 -2.996388158999999973e+01 -3.431644230423112418e+01 -3.456747869820406294e+01 -2.543422594221459576e+01
-3.082999999999999829e+01 0.000000000000000000e+00 -2.995188158999999928e+01 -3.430444230423112373e+01 -3.455547869820406248e+01 -2.542222594221459531e+01
-3.081700000000000017e+01 0.000000000000000000e+00 -2.993888159000000115e+01 -3.429144230423112560e+01 -3.454247869820406436e+01 -2.540922594221459718e+01
-3.080499999999999972e+01 0.000000000000000000e+00 -2.992688159000000070e+01 -3.427944230423112515e+01 -3.453047869820406390e+01 -2.539722594221459673e+01
-3.079200000000000159e+01 0.000000000000000000e+00 -2.991388159000000257e+01 -3.426644230423112703e+01 -3.451747869820406578e+01 -2.538422594221459860e+01
-3.077899999999999991e+01 0.000000000000000000e+00 -2.990088159000000090e+01 -3.425344230423112180e+01 -3.450447869820406055e+01 -2.537122594221459337e+01
-3.076699999999999946e+01 0.000000000000000000e+00 -2.988888159000000044e+01 -3.424144230423112134e+01 -3.449247869820406009e+01 -2.535922594221459292e+01
-3.075400000000000134e+01 0.000000000000000000e+00 -2.987588159000000232e+01 -3.422844230423112322e+01 -3.447947869820406197e+01 -2.534622594221459480e+01
-3.074200000000000088e+01 0.000000000000000000e+00 -2.986388159000000186e+01 -3.421644230423112276e+01 -3.446747869820406152e+01 -2.533422594221459434e+01
-3.072899999999999920e+01 0.000000000000000000e+00 -2.985088159000000019e+01 -3.420344230423112464e+01 -3.445447869820406339e+01 -2.532122594221459622e+01
-3.071699999999999875e+01 0.000000000000000000e+00 -2.983888158999999973e+01 -3.419144230423112418e+01 -3.444247869820406294e+01 -2.530922594221459576e+01
-3.070400000000000063e+01 0.000000000000000000e+00 -2.982588159000000161e+01 -3.417844230423112606e+01 -3.442947869820406481e+01 -2.529622594221459764e+01
